Title,Title_URL,Address,Address_URL,City,Review,Price,Rating
Grand Ibro Hotel,https://hotels.ng/hotel/34353-grand-ibro-hotel-abuja,"Wuse, Abuja - 2121 Micheal Okpara Road Opposite Shelter Plaza",https://hotels.ng/hotels-in-abuja/wuse,Wuse,"Good stay, my stay was very fine....","₦13,000
                                               avg/night
                                           ",7.4 Very Good
Power Mike Hotels ,https://hotels.ng/hotel/995346-power-mike-hotels-abuja,"Garki, Abuja - 9 Argungu Close , Off Benue Cresent, Area 1, Garki",https://hotels.ng/hotels-in-abuja/garki,Garki,The room was reasonably tidy with a very big bed that I slept in comfortably. It felt just...,"₦5,000
                                               avg/night
                                           ",7.3 Very Good
New Rendezvous Hotel,https://hotels.ng/hotel/36783-new-rendezvous-hotel-abuja,"Wuse 6, Abuja - 21, Plot 188, Makeni Street, Zone 6",https://hotels.ng/hotels-in-abuja/wuse-6,Wuse 6,"Very clean room, ventilation was not too good, no en-suite facilities (convenience ). Nice...","₦5,000
                                               avg/night
                                           ",
Summit Villas Suites ,https://hotels.ng/hotel/37489-summit-villas-suites-apartment-abuja,"Gwarinpa, Abuja -  Life Camp Junction, Opposite AP Filling Station ",https://hotels.ng/hotels-in-abuja/gwarinpa,Gwarinpa,The hotel is beautiful and fully equipped. Hospitable and responsive manpower with 24hours...,"₦8,400
                                               avg/night
                                           ",6.8 Very Good
Orient Hotel,https://hotels.ng/hotel/32651-orient-hotel-abuja,"Wuse, Abuja - 12 Sudan Street",https://hotels.ng/hotels-in-abuja/wuse,Wuse,My stay was okay at the hotel. There were no issues throughout my stay. I was well receive...,"₦9,000
                                               avg/night
                                           ",7.4 Very Good
Ritman Hotels,https://hotels.ng/hotel/43568-ritman-suites-abuja,"Garki, Abuja - 11 Ilorin Street, Area 8",https://hotels.ng/hotels-in-abuja/garki,Garki,"My stay there was great. Wonderful staff, well organized, neat environment including the r...","₦10,000
                                               avg/night
                                           ",7.4 Very Good
Bolingo Hotel And Towers,https://hotels.ng/hotel/16854-bolingo-hotel-and-towers-abuja,"Central Business District, Abuja - Independent Avenue Central Business District, Garki P. O. Box 4654",https://hotels.ng/hotels-in-abuja/central-business-district,Central Business District,Very comfortable hotel. My stay was good....,"₦18,000
                                               avg/night
                                           ",7.3 Very Good
Tescon Hotel,https://hotels.ng/hotel/995363-tescon-hotel-abuja,"Lugbe, Abuja - Plot 338 Lugbe Phase 1 Layout, Airport Road, Abuja",https://hotels.ng/hotels-in-abuja/lugbe,Lugbe,My stay at the hotel was beautiful although there were mosquitoes in my room and there was...,"₦6,800
                                               avg/night
                                           ",6.8 Very Good
AMBIENCE HOTEL ABUJA,https://hotels.ng/hotel/1015140-ambience-hotel-abuja,"Abuja, Abuja - 27 Ontario Cresent,  Suncity Estate",https://hotels.ng/hotels-in-abuja/abuja,Abuja,I  had a nice stay...,"₦7,000
                                               avg/night
                                           ",7.4 Very Good
Salaam Hospitality,https://hotels.ng/hotel/1391093-salaam-hospitality,"Gwarinpa, Abuja - No 26 Femi Adetola Street, Off 7th Avenue, Gwarinpa",https://hotels.ng/hotels-in-abuja/gwarinpa,Gwarinpa,,"₦6,000
                                               avg/night
                                           ",
Ritman Hotels Gwarinpa Branch,https://hotels.ng/hotel/51449-ritman-hotels-gwarinpa-branch-abuja,"Gwarinpa, Abuja - 5 Christina Ajayi Okunuga Street (Road 11)",https://hotels.ng/hotels-in-abuja/gwarinpa,Gwarinpa,The hotel is a nice place to be. I enjoyed myself and I was comfortable in the room I chec...,"₦10,500
                                               avg/night
                                           ",6.5 Very Good
Grand Cubana Hotel,https://hotels.ng/hotel/1012415-grand-cubana-hotel-abuja,"Jabi, Abuja -  6 Ebitu Ukiwe St,",https://hotels.ng/hotels-in-abuja/jabi,Jabi,"My stay at the hotel was really good, especially for the price in that location. There was...","₦22,500
                                               avg/night
                                           ",
Pope John Paul Catholic Guest House,https://hotels.ng/hotel/49373-catholic-guest-house-abuja,"Wuse, Abuja - Pope John Paul Ll Catholic Centren 27, Bangui Street, Off Ademola Adetokunbo Crescent",https://hotels.ng/hotels-in-abuja/wuse,Wuse,Nice place ....,"₦11,550
                                               avg/night
                                           ",6.6 Very Good
"BARCELONA HOTELS, ABUJA",https://hotels.ng/hotel/66685-barcelona-hotels-abuja-abuja,"Wuse 2, Abuja - 23 Blantyre Street, Off Aminu Kano Crescent, Wuse II ",https://hotels.ng/hotels-in-abuja/wuse-2,Wuse 2,I had a good stay at the hotel. I had no issues checking in and out of the place. The envi...,"₦25,200
                                               avg/night
                                           ",6.8 Very Good
Stamford Hotels ,https://hotels.ng/hotel/15314-stamford-abuja,"Kubwa, Abuja - 26 / 28 Olukoya Street Extension 3 By Army Post Service Scheme",https://hotels.ng/hotels-in-abuja/kubwa,Kubwa,I spent 7 days at Stamford hotel and I can authoritatively  state that there services are ...,"₦9,500
                                               avg/night
                                           ",6.7 Very Good
New City Hotel,https://hotels.ng/hotel/52494-new-city-abuja,"Wuye, Abuja - Plot 576 Gidado Idris Street Wuye",https://hotels.ng/hotels-in-abuja/wuye,Wuye,I have used the hotel a couple of times and I was not disapointed at all by the hotel's st...,"₦6,000
                                               avg/night
                                           ",6.0 Very Good
 Hotel Rosebud,https://hotels.ng/hotel/66186-hotel-rosebud-abuja,"Garki, Abuja - 33 Port Harcourt Crescent Off Gimbiya Street, Garki, Area 11,",https://hotels.ng/hotels-in-abuja/garki,Garki,I have been patronizing this hotel for close to five years now and I have never been disap...,"₦18,400
                                               avg/night
                                           ",6.7 Very Good
Maitama Guest House,https://hotels.ng/hotel/19135-maitama-guest-house-abuja,"Maitama, Abuja - 25, Yedsaram Street",https://hotels.ng/hotels-in-abuja/maitama,Maitama,"The water heater was in a terrible state,  the hotel people were clueless about how to fix...","₦8,100
                                               avg/night
                                           ",6.9 Very Good
