,Hotel_Title,Title_URL,Address,Address_URL,City,Review_Text,Price,Rating,State
0,Grand Ibro Hotel,https://hotels.ng/hotel/34353-grand-ibro-hotel-abuja,"Wuse, Abuja - 2121 Micheal Okpara Road Opposite Shelter Plaza",https://hotels.ng/hotels-in-abuja/wuse,Wuse,"Good stay, my stay was very fine....",13000.0,7.4,Abuja
1,Power Mike Hotels ,https://hotels.ng/hotel/995346-power-mike-hotels-abuja,"Garki, Abuja - 9 Argungu Close , Off Benue Cresent, Area 1, Garki",https://hotels.ng/hotels-in-abuja/garki,Garki,The room was reasonably tidy with a very big bed that I slept in comfortably. It felt just...,5000.0,7.3,Abuja
3,Summit Villas Suites ,https://hotels.ng/hotel/37489-summit-villas-suites-apartment-abuja,"Gwarinpa, Abuja -  Life Camp Junction, Opposite AP Filling Station ",https://hotels.ng/hotels-in-abuja/gwarinpa,Gwarinpa,The hotel is beautiful and fully equipped. Hospitable and responsive manpower with 24hours...,8400.0,6.8,Abuja
4,Orient Hotel,https://hotels.ng/hotel/32651-orient-hotel-abuja,"Wuse, Abuja - 12 Sudan Street",https://hotels.ng/hotels-in-abuja/wuse,Wuse,My stay was okay at the hotel. There were no issues throughout my stay. I was well receive...,9000.0,7.4,Abuja
5,Ritman Hotels,https://hotels.ng/hotel/43568-ritman-suites-abuja,"Garki, Abuja - 11 Ilorin Street, Area 8",https://hotels.ng/hotels-in-abuja/garki,Garki,"My stay there was great. Wonderful staff, well organized, neat environment including the r...",10000.0,7.4,Abuja
6,Bolingo Hotel And Towers,https://hotels.ng/hotel/16854-bolingo-hotel-and-towers-abuja,"Central Business District, Abuja - Independent Avenue Central Business District, Garki P. O. Box 4654",https://hotels.ng/hotels-in-abuja/central-business-district,Central Business District,Very comfortable hotel. My stay was good....,18000.0,7.3,Abuja
7,Tescon Hotel,https://hotels.ng/hotel/995363-tescon-hotel-abuja,"Lugbe, Abuja - Plot 338 Lugbe Phase 1 Layout, Airport Road, Abuja",https://hotels.ng/hotels-in-abuja/lugbe,Lugbe,My stay at the hotel was beautiful although there were mosquitoes in my room and there was...,6800.0,6.8,Abuja
8,AMBIENCE HOTEL ABUJA,https://hotels.ng/hotel/1015140-ambience-hotel-abuja,"Abuja, Abuja - 27 Ontario Cresent,  Suncity Estate",https://hotels.ng/hotels-in-abuja/abuja,Abuja,I  had a nice stay...,7000.0,7.4,Abuja
10,Ritman Hotels Gwarinpa Branch,https://hotels.ng/hotel/51449-ritman-hotels-gwarinpa-branch-abuja,"Gwarinpa, Abuja - 5 Christina Ajayi Okunuga Street (Road 11)",https://hotels.ng/hotels-in-abuja/gwarinpa,Gwarinpa,The hotel is a nice place to be. I enjoyed myself and I was comfortable in the room I chec...,10500.0,6.5,Abuja
12,Pope John Paul Catholic Guest House,https://hotels.ng/hotel/49373-catholic-guest-house-abuja,"Wuse, Abuja - Pope John Paul Ll Catholic Centren 27, Bangui Street, Off Ademola Adetokunbo Crescent",https://hotels.ng/hotels-in-abuja/wuse,Wuse,Nice place ....,11550.0,6.6,Abuja
