Hotel_Title,Title_URL,Address,Address_URL,City,Review_Text,Price,Rating,Number_of_Reviews
Hotel Seventeen,https://hotels.ng/hotel/44141-hotel-17-kaduna,"Kaduna, Kaduna - 6 Tafawa Balewa Way Lafiya Road",https://hotels.ng/hotels-in-kaduna/kaduna,Kaduna,Nice stay but the hotel did not have a shoe shiner....,"₦18,313
                                               avg/night
                                           ",6.8 Very Good,From 29 reviews
Epitome Hotels ,https://hotels.ng/hotel/23912-epitome-hotels-suites-kaduna,"Kaduna South, Kaduna - 12/13 Ethiopia Street.",https://hotels.ng/hotels-in-kaduna/kaduna-south,Kaduna South,"I enjoyed my stay, the environment was cool....","₦9,000
                                               avg/night
                                           ",6.9 Very Good,From 28 reviews
Asaa Pyramid Hotel,https://hotels.ng/hotel/43674-asaa-pyramid-hotel-kaduna,"Kaduna North, Kaduna - 13 Lafia Road, Off Independence Way ",https://hotels.ng/hotels-in-kaduna/kaduna-north,Kaduna North,It was a beautiful experience for me. Every part of the hotel was beautiful and the facili...,"₦22,000
                                               avg/night
                                           ",7.3 Very Good,From 17 reviews
Sonic Immaculate Hotel,https://hotels.ng/hotel/11967-immaculate-hotel-kaduna,"Zaria, Kaduna - 4, Park Road, Sabon-Gari ",https://hotels.ng/hotels-in-kaduna/zaria,Zaria,"My stay was good, I had no challenge....","₦6,500
                                               avg/night
                                           ",6.6 Very Good,From 7 reviews
Elegant Guest Inn,https://hotels.ng/hotel/92434-elegant-guest-inn-kaduna,"Kaduna North, Kaduna - 9 Necco Road Mando ",https://hotels.ng/hotels-in-kaduna/kaduna-north,Kaduna North,I had an okay stay at this hotel and I believe I got value for my money. The room was as i...,"₦2,200
                                               avg/night
                                           ",6.4 Very Good,From 3 reviews
Halal Fountain Hotel,https://hotels.ng/hotel/83519-halal-fountain-hotel-benue,"Kaduna North, Kaduna - 1A Wurno Road Off Rabah Road",https://hotels.ng/hotels-in-kaduna/kaduna-north,Kaduna North,,"₦7,000
                                               avg/night
                                           ",,From 3 reviews
Zecool Hotels Limited,https://hotels.ng/hotel/88189-zecool-hotels-limited-headquaters-kaduna,"Kaduna South, Kaduna - 3, Zecool Crescent, Barnawa Kaduna",https://hotels.ng/hotels-in-kaduna/kaduna-south,Kaduna South,My stay at the hotel was an enjoyable one. The room had been well cleaned prior to my arri...,"₦7,200
                                               avg/night
                                           ",6.7 Very Good,From 6 reviews
Kenfeli International Palm Beach Hotels,https://hotels.ng/hotel/72859-kenfeli-international-palm-beach-hotels-kaduna,"Kaduna North, Kaduna - 11/12, Busa Close, Off Gwari Avenue (Behind Queen Amina College),",https://hotels.ng/hotels-in-kaduna/kaduna-north,Kaduna North,,"₦5,500
                                               avg/night
                                           ",,From 2 reviews
" COMMAND GUEST HOUSE, KADUNA",https://hotels.ng/hotel/1012359-command-guest-house-kaduna-kaduna,"Kaduna, Kaduna - No. 10, Muhammad Buhari Way (Former Waff Road)",https://hotels.ng/hotels-in-kaduna/kaduna,Kaduna,My stay was wonderful at the hotel. I appreciated the prompt service and the courtesy the ...,"₦12,000
                                               avg/night
                                           ",6.8 Very Good,From 2 reviews
Rex Guest Inn,https://hotels.ng/hotel/999427-rex-guest-inn-kaduna,"Zaria, Kaduna - No. 59, Sokoto Road, Abu Zaria, Zaria, Kaduna State",https://hotels.ng/hotels-in-kaduna/zaria,Zaria,"Nice hotel, everything went well....","₦2,300
                                               avg/night
                                           ",,From 6 reviews
Tomaso King Palace 3,https://hotels.ng/hotel/1008580-tomaso-king-palace-3-kaduna,"Barnawa Kaduna, Kaduna - 59/60 Angola Crescent, Barnawa",https://hotels.ng/hotels-in-kaduna/barnawa-kaduna,Barnawa Kaduna,"I enjoyed myself, my stay was nice....","₦4,150
                                               avg/night
                                           ",6.0 Very Good,From 2 reviews
Zecool Hotels (Annex),https://hotels.ng/hotel/37213-zeecool-hotels-kaduna,"Kaduna South, Kaduna - 1 Algeria Road, Barnawa Kaduna",https://hotels.ng/hotels-in-kaduna/kaduna-south,Kaduna South,Very comfortable and convenience...,"₦5,500
                                               avg/night
                                           ",6.3 Very Good,From 4 reviews
"Quarter House Hotels, Kaduna",https://hotels.ng/hotel/1005718-quarter-house-hotels-kaduna,"Kaduna, Kaduna - No.2 Ogabdu Road, Malali, G.R.A, ",https://hotels.ng/hotels-in-kaduna/kaduna,Kaduna,,"₦20,868
                                               avg/night
                                           ",,From 2 reviews
Gombe Jewel Hotel ,https://hotels.ng/hotel/54613-gombe-jewel-hotel-kaduna-kaduna,"Kaduna North, Kaduna - 7, Ex-ministers Quarters, Off Rabah Road, Near NDA,",https://hotels.ng/hotels-in-kaduna/kaduna-north,Kaduna North,,"₦6,845
                                               avg/night
                                           ",,From 4 reviews
New Kaduna Motel,https://hotels.ng/hotel/29626-new-kaduna-motel-kaduna,"Kaduna, Kaduna - 26 Kastina Road",https://hotels.ng/hotels-in-kaduna/kaduna,Kaduna,,"₦2,700
                                               avg/night
                                           ",,
Castle De White House Hotel ,https://hotels.ng/hotel/1392466-castle-de-white-house-hotel,"Kaduna, Kaduna - No 9 Kwato Road Off Ibrahim Zaki Road Unguwar Rimi GRA",https://hotels.ng/hotels-in-kaduna/kaduna,Kaduna,,"₦39,780
                                               avg/night
                                           ",,
Kingjones Guest Inn ,https://hotels.ng/hotel/28355-kingjons-palace-hotel-kaduna,"Barnawa, Kaduna - Wahibe Close, Off Yusuf Iliya Street, Barnawa GRA",https://hotels.ng/hotels-in-kaduna/barnawa,Barnawa,,"₦2,500
                                               avg/night
                                           ",,
Ocheja Hotel,https://hotels.ng/hotel/38819-ocheja-hotel-kaduna,"Kaduna South, Kaduna - 1 Busa Street Opposite Poly Quarters Television, Ungwo Yelwa ",https://hotels.ng/hotels-in-kaduna/kaduna-south,Kaduna South,,"₦1,800
                                               avg/night
                                           ",,
Bafra International Hotels,https://hotels.ng/hotel/96355-bafra-suites-kaduna,"Kaduna North, Kaduna - 11B Yakubu Avenue Off Akali Road",https://hotels.ng/hotels-in-kaduna/kaduna-north,Kaduna North,"I like the ambiance of the hotel, the room was well arranged with nice furniture. Their se...","₦20,500
                                               avg/night
                                           ",7.5 Very Good,From 8 reviews
Emerald Suites,https://hotels.ng/hotel/1006301-emerald-hotel-kaduna,"Zaria, Kaduna - 1. Emerald Close Off Western Way G.R.A.",https://hotels.ng/hotels-in-kaduna/zaria,Zaria,"Good staff, very neat hotel. Everything is almost excellent except for Cable TV, the room ...","₦35,100
                                               avg/night
                                           ",,From 3 reviews
