Hotel_Title,Title_URL,Like,Address,Address_URL,City,Review_Text,Price,Rating,Number
Ibis Lagos Airport,https://hotels.ng/hotel/26241-ibis-lagos-airport-lagos,"
                                           
                                           16,465 people like this hotel ","Ajao Estate, Lagos - 35/37 Murtala Mohamed Intl Airport Road",https://hotels.ng/hotels-in-lagos/ajao-estate,Ajao Estate,"My stay at the hotel was a pleasant one. The hotel was neat and comfortable, their food wa...","₦20,000
                                               avg/night
                                           ",,From 109 reviews
Hotel Ibis Lagos Ikeja,https://hotels.ng/hotel/52497-hotel-ibis-lagos-ikeja-lagos,"
                                           
                                           16,501 people like this hotel ","Ikeja, Lagos - 23 Toyin Street, Ikeja, Lagos",https://hotels.ng/hotels-in-lagos/ikeja,Ikeja,"I had a good stay at the hotel, although it could have been better. The hotel's management...","₦28,900
                                               avg/night
                                           ",,From 197 reviews
Beni Apartments,https://hotels.ng/hotel/55821-beni-apartments-lagos,"
                                           
                                           9,507 people like this hotel ","Victoria Island, Lagos - Plot 37 Ahmed Onibudo Street Off Adeola Hopewell",https://hotels.ng/hotels-in-lagos/victoria-island,Victoria Island,"My stay at the hotel was a wonderful one. The hotel is a really nice place to be, beautifu...","₦12,000
                                               avg/night
                                           ",7.4 Very Good,From 137 reviews
Beni Hotels,https://hotels.ng/hotel/66239-beni-hotels-lagos,"
                                           
                                           7,074 people like this hotel ","Lagos Island, Lagos - 11/13 Wimo Onatere Street, Off Broad Street",https://hotels.ng/hotels-in-lagos/lagos-island,Lagos Island,I really didn't have any problem fitting in at the hotel because it was just how I picture...,"₦7,500
                                               avg/night
                                           ",7.3 Very Good,From 60 reviews
Choice Suites (Formerly Chantella Suites),https://hotels.ng/hotel/998818-chantella-suites-lagos,"
                                           
                                           6,639 people like this hotel ","Ikeja, Lagos - 3B, Allen Lane, Off Allen Avenue, Behind KFC, By Durosoleye Hospital",https://hotels.ng/hotels-in-lagos/ikeja,Ikeja,"Nice hotel, we had a nice time....","₦8,000
                                               avg/night
                                           ",7.3 Very Good,From 37 reviews
Extended Stay Grand Hotel,https://hotels.ng/hotel/1007164-extended-stay-grand-hotel-lagos,"
                                           
                                           6,470 people like this hotel ","Lekki Phase 1, Lagos - 21 Oladimeji Alo, Off Freedom Way Beside Canadian Embassy, Lekki Phase 1",https://hotels.ng/hotels-in-lagos/lekki-phase-1,Lekki Phase 1,"My stay was okay, customer service was perfect too....","₦12,000
                                               avg/night
                                           ",7.6 Very Good,From 34 reviews
Beni Gold Hotel And Apartments,https://hotels.ng/hotel/86784-benigold-hotel-lagos,"
                                           
                                           16,143 people like this hotel ","Victoria Island, Lagos - 18 Adeleke Adedoyin Off Kofo Abayomi, Victoria-Island, Lagos",https://hotels.ng/hotels-in-lagos/victoria-island,Victoria Island,"Although I had a really good stay at the hotel, I had a few issues. First, the light in my...","₦18,000
                                               avg/night
                                           ",7.8 Very Good,From 344 reviews
The Cocoon Luxury Suites Ilupeju,https://hotels.ng/hotel/1392438-the-cocoon-ilupeju-hotel,"
                                           
                                           1,386 people like this hotel ","Ilupeju, Lagos - 16 Aina George Street, Off Coker Road, Ilupeju",https://hotels.ng/hotels-in-lagos/ilupeju,Ilupeju,"Very clean, comfortable bed. I felt good ...","₦12,000
                                               avg/night
                                           ",,From 10 reviews
Presken Hotel And Suites (Former Hayes Hotels),https://hotels.ng/hotel/26498-hayes-hotels-lagos,"
                                           
                                           3,397 people like this hotel ","Ikeja, Lagos - 14/16 Mojidi Street, Off Toyin Street  POBox 14603 ",https://hotels.ng/hotels-in-lagos/ikeja,Ikeja,"A great place to be, everything was nice....","₦14,600
                                               avg/night
                                           ",7.1 Very Good,From 20 reviews
Double M Exquisite Suites And Lounge,https://hotels.ng/hotel/1391949-double-m-exquisite-suites-and-lounge,"
                                           
                                           2,614 people like this hotel ","Lekki, Lagos -  9 Kazeem Abogun St, Off New Road Alpha Beach, Lekki-Chevron",https://hotels.ng/hotels-in-lagos/lekki,Lekki,"I doubted the pictures but when I got to the hotel I was amazed. Everywhere was so clean, ...","₦20,000
                                               avg/night
                                           ",,From 31 reviews
Perfect View Hotels Ltd (Formerly La Bugatti Suite Limited),https://hotels.ng/hotel/21874-la-bugatti-suite-limited-lagos,"
                                           
                                           1,916 people like this hotel ","Victoria Island, Lagos - 204B, Etim Inyang Crecsent",https://hotels.ng/hotels-in-lagos/victoria-island,Victoria Island,My stay was fine and perfect. The experience was great....,"₦10,000
                                               avg/night
                                           ",6.7 Very Good,From 29 reviews
Demiral Hotel At The Place Lekki,https://hotels.ng/hotel/71756-demiral-hotel-lagos,"
                                           
                                           2,333 people like this hotel ","Lekki, Lagos - Plot 38 Block 10 Beside Fun Factory Admiralty Way",https://hotels.ng/hotels-in-lagos/lekki,Lekki, It is a good hotel with good facilities and services. ...,"₦12,000
                                               avg/night
                                           ",7.2 Very Good,From 27 reviews
Integrity Hotel And Suites,https://hotels.ng/hotel/1012440-integrity-hotel-and-suites-lagos,"
                                           
                                           4,217 people like this hotel "," Victoria Island, Lagos - 17, Agbagbon Close Off Ologun Agbaje Street, Off Adeola Odeku, Victoria Island.",https://hotels.ng/hotels-in-lagos/victoria-island, Victoria Island,"My stay was very fine, the receptionist was very jovial, smiled at guests and was very pro...","₦13,000
                                               avg/night
                                           ",6.0 Very Good,From 23 reviews
CitiHeight Hotel,https://hotels.ng/hotel/1015136-citiheight-hotel,"
                                           
                                           2,020 people like this hotel ","Ikeja, Lagos - No. 6 Sheraton-Opebi Link Road",https://hotels.ng/hotels-in-lagos/ikeja,Ikeja,"I really enjoyed my stay. I give the hotel a 5-star rating. Excellent, Excellent, Excellen...","₦22,000
                                               avg/night
                                           ",,From 14 reviews
Eko Hotel ,https://hotels.ng/hotel/98947-eko-hotel-suites-lagos,"
                                           
                                           3,914 people like this hotel ","Victoria Island, Lagos - 1415 Adetokunbo Ademola Street",https://hotels.ng/hotels-in-lagos/victoria-island,Victoria Island,"Clean rooms and responsive staff.  Good hotel, great service....","₦73,400
                                               avg/night
                                           ",7.5 Very Good,From 35 reviews
Presken Hotel And Resorts (Formerly Cheers Hotel),https://hotels.ng/hotel/43895-cheers-hotel-suites-lagos,"
                                           
                                           3,246 people like this hotel ","Ikeja, Lagos - 131 Obafemi Awolowo Way By Allen Avenue Round About",https://hotels.ng/hotels-in-lagos/ikeja,Ikeja,That place is such a nice place. My stay was very okay. Thanks to Hotels.ng...,"₦14,600
                                               avg/night
                                           ",7.4 Very Good,From 21 reviews
"Presken Hotel @ G.R.A, Ikeja",https://hotels.ng/hotel/994933-cottage-3-guest-house-lagos,"
                                           
                                           3,348 people like this hotel ","Ikeja, Lagos - 6, Remi Fani Kayode Avenue, G.R.A, Ikeja , Off Oba Akinjobi Way",https://hotels.ng/hotels-in-lagos/ikeja,Ikeja,My stay was enjoyable.  The staff were friendly....,"₦14,600
                                               avg/night
                                           ",7.8 Very Good,From 21 reviews
Jeromes Garden And Suites,https://hotels.ng/hotel/89877-jeromes-garden-and-suites-lagos,"
                                           
                                           6,791 people like this hotel ","Ikeja, Lagos - 29, Oroleye Crescent, Off Abel Oreniyi Street, Off Salvation Road, Opebi",https://hotels.ng/hotels-in-lagos/ikeja,Ikeja,I loved my experience here. I couldn't have had a better stay. I was satisfied with all th...,"₦12,000
                                               avg/night
                                           ",,From 88 reviews
Vintage Suites,https://hotels.ng/hotel/45347-vintage-house-hotel-lagos,"
                                           
                                           2,471 people like this hotel ","Surulere, Lagos - 15c, Akinhanmi Street, Off Funsho Williams Avenue, By Fo Filling Statio",https://hotels.ng/hotels-in-lagos/surulere,Surulere,The customer service was very okay....,"₦8,000
                                               avg/night
                                           ",6.5 Very Good,From 18 reviews
Dmatel Hotel And Resort ,https://hotels.ng/hotel/97738-dmatel-hotel-and-resort-lagos,"
                                           
                                           3,181 people like this hotel ","Lekki, Lagos - 10 Agungi Road, Ajiran Off Lekki Expressway",https://hotels.ng/hotels-in-lagos/lekki,Lekki,"I enjoy my stay, room service was top notch. Clean environment, awesome staff and function...","₦17,000
                                               avg/night
                                           ",7.2 Very Good,From 62 reviews
BTT HOMES,https://hotels.ng/hotel/1241065-btt-homes,"
                                           
                                           1,795 people like this hotel ","Lekki Phase 1, Lagos - Plot 5 Theophilus Orji Off Fola Osibo, Off Admiralty Way, Lekki Phase I",https://hotels.ng/hotels-in-lagos/lekki-phase-1,Lekki Phase 1,My stay was okay. my room was spacious room and nice....,"₦15,000
                                               avg/night
                                           ",7.5 Very Good,From 10 reviews
Amador Suites,https://hotels.ng/hotel/35955-amador-suites-lagos,"
                                           
                                           1,959 people like this hotel ","Ajah, Lagos - 7/8 Young Arabamen Street Farm  Bus-stop Sangotedo Off Lekki -Epe Expressway",https://hotels.ng/hotels-in-lagos/ajah,Ajah,My stay was fine. The environment was very clean and conducive....,"₦5,999
                                               avg/night
                                           ",6.5 Very Good,From 32 reviews
Lagos Oriental Hotel,https://hotels.ng/hotel/46585-lagos-oriental-hotel-lagos,"
                                           
                                           3,241 people like this hotel ","Victoria Island, Lagos -  3 Lekki Road",https://hotels.ng/hotels-in-lagos/victoria-island,Victoria Island,My stay at the hotel was decent and pleasurable. The cable television had the big brother ...,"₦75,000
                                               avg/night
                                           ",,From 32 reviews
Swiss Cottage Suites,https://hotels.ng/hotel/29223-swiss-cottage-suites-apartments-lagos,"
                                           
                                           2,651 people like this hotel ","Ikeja , Lagos -  18 Sunday Adigun Street Alausa Ikeja( Adjacent To Ikeja City Mall).",https://hotels.ng/hotels-in-lagos/ikeja,Ikeja ,My stay was alright. I had no issues at all....,"₦13,500
                                               avg/night
                                           ",7.9 Very Good,From 32 reviews
The Cocoon Luxury Suites,https://hotels.ng/hotel/995634-the-cocoon-luxury-suites-lagos,"
                                           
                                           1,794 people like this hotel ","Gbagada, Lagos - 6, Oguntona Crescent, Gbagada Phase 1 ",https://hotels.ng/hotels-in-lagos/gbagada,Gbagada,"It was a very nice experience, it is worth the price. The hotel is very good. ...","₦12,000
                                               avg/night
                                           ",,From 18 reviews
Atlantic Palms Suites,https://hotels.ng/hotel/1241703-atlantic-palms-suite,"
                                           
                                           1,412 people like this hotel ","Lekki, Lagos - 1, Abolakale Arikawe Drive, Off Alpha Beach New Road Bus Stop, Lekki-Epe Express Way, Chevron Drive",https://hotels.ng/hotels-in-lagos/lekki,Lekki, Atlantic Palms is cool but their food is expensive....,"₦13,500
                                               avg/night
                                           ",7.6 Very Good,From 13 reviews
Deke Hotel,https://hotels.ng/hotel/88354-deke-hotel-lagos,"
                                           
                                           1,967 people like this hotel ","Yaba, Lagos - Plot 79 Karimu Kotun Oyadiran Estate Sabo",https://hotels.ng/hotels-in-lagos/yaba,Yaba,"Nice hotel,I had zero challenge....","₦5,500
                                               avg/night
                                           ",,From 69 reviews
KnightsBridge Hotel,https://hotels.ng/hotel/58969-knightsbridge-hotel-lagos,"
                                           
                                           1,738 people like this hotel ","Ikeja, Lagos - 9 Emina Crescent Off Toyin Street ",https://hotels.ng/hotels-in-lagos/ikeja,Ikeja,"It was great, I like the  room, everything was working perfectly. I also enjoyed the 24hou...","₦12,750
                                               avg/night
                                           ",7.7 Very Good,From 34 reviews
Unilag Guest House,https://hotels.ng/hotel/62224-unilag-guest-house-lagos,"
                                           
                                           5,043 people like this hotel ","Yaba, Lagos - University Of Lagos Akoka ",https://hotels.ng/hotels-in-lagos/yaba,Yaba,Fun filled stay....,"₦3,150
                                               avg/night
                                           ",6.0 Very Good,From 41 reviews
Presken Hotel @ International Airport RD (Formerly Max Royal Hotel),https://hotels.ng/hotel/1004905-max-royal-hotel-lagos,"
                                           
                                           1,141 people like this hotel ","Oshodi, Lagos - 50, International Airport Road, Ajao Estate Busstop, Mafoluku, Shogunle.",https://hotels.ng/hotels-in-lagos/oshodi,Oshodi,My stay was fine...,"₦14,600
                                               avg/night
                                           ",7.9 Very Good,From 5 reviews
Cosmic Guest House,https://hotels.ng/hotel/71296-cosmic-guest-house-lagos,"
                                           
                                           2,171 people like this hotel ","Ikeja, Lagos - 36a Olu-Akerele Street Balogun Bus Stop. Off Awolowo Way. Ikeja. Lagos",https://hotels.ng/hotels-in-lagos/ikeja,Ikeja,"My stay at the hotel was okay, just that I got to the hotel very late but I was given a ro...","₦5,000
                                               avg/night
                                           ",,From 41 reviews
Divine Fountain Hotel,https://hotels.ng/hotel/78454-divine-fountain-hotel-lagos,"
                                           
                                           2,324 people like this hotel ","Ikeja, Lagos - 12, Lateef Jakande, Agindingbi, Ikeja , Lagos",https://hotels.ng/hotels-in-lagos/ikeja,Ikeja,I enjoyed my stay at the hotel. The reception that I received was very good. The staff wer...,"₦6,500
                                               avg/night
                                           ",6.2 Very Good,From 36 reviews
